"id","name","parent_id","description","identifier","created_on"
217,"Budaörsi Római Katolikus Egyházközség",24,"<p>Honlap re-design a feladat.</p>","budaoersi-romai-katolikus-egyhazkoezseg","2014-09-22 12:46:53"
218,"Dr.György Emília",24,"<p>Tervezni egy logót és egy kisarculatot. Egyelőre elég egy névjegykártya is az ügyvédnőnek.</p>","dr-gyoergy-emilia","2014-09-22 12:49:35"
219,"Sunflower",96,"","sunflower","2014-09-24 13:00:55"
220,"Four Season Property",17,"<p>ez a project elköltözött ide: <a class=\"external\" href=\"http://redmine.assist01.gbart.h3.hu/projects/switzerties\">http://redmine.assist01.gbart.h3.hu/projects/switzerties</a></p>","four-season-property","2014-09-24 17:31:29"
221,"Attar Corporation",17,"<p>Logo and landing page design.</p>","attar-corporation","2014-09-25 14:09:59"
222,"Skylab",202,"<p>Website for a newly built commercial building by Uni5 group.</p><p>Delivery time: 25th October</p>","skylab","2014-09-25 15:34:09"
223,"Swiss Linguist",17,"<p>Website for a translator company.</p><p>Delivery date: 25th October</p>","swiss-linguist","2014-09-25 18:02:16"
224,"OMMIK",96,"","ommik","2014-09-26 10:21:14"
225,"Pick 2014 trade promóció",33,"","pick-2014-trade-promocio","2014-09-29 14:10:15"
226,"Insens",17,"<p>New website for a wellness center.</p>","insens","2014-10-01 10:15:35"
227,"ACE templates",111,"<p>Creating and updating corporate word and powerpoint templates.</p>","ace-templates","2014-10-01 15:39:10"
228,"La Reserve Paris",116,"<p>Website for the Paris hotel.</p>","la-reserve-paris","2014-10-01 16:13:55"
229,"Switzerties",17,"<p>egyszerű ingatlan portál</p>","switzerties","2014-10-03 10:02:26"
230,"Piaget",17,"<p>Website design for a jewellery manufacturer.</p>","piaget","2014-10-03 15:30:37"
231,"Ooops",33,"","ooops","2014-10-06 10:21:06"
232,"Pick reklám",33,"","pick-reklam","2014-10-08 13:11:51"
233,"La Reserve Ramatuelle",116,"<p>New website for the hotel.</p><p>Going live Deadline: 22 March</p>","la-reserve-ramatuelle","2014-10-10 12:30:52"
234,"Geneva Vintage Watch",17,"<p>New website for a vintage watch seller.</p>","geneve-vintage-watch","2014-10-10 16:27:29"
235,"Zempléni kommunikáció",96,"","zempleni-kommunikacio","2014-10-11 14:41:18"
236,"Szféraeurópa",96,"","szferaeuropa","2014-10-16 10:23:06"
237,"HomeGourmet",17,"","home-gourmet","2014-10-16 12:42:32"
238,"Fabienne Gautier ",17,"<p>Create a new website including 2 subsite.</p>","fabienne-gautier","2014-10-18 10:38:06"
239,"Nyerő ünnep",69,"","nyero-uennep","2014-10-20 10:41:41"
241,"PROBOND - FEJLESZTÉSEK",161,"<p>Fejlesztések hónapra bontva, minden  hónapnak van egy saját verziója a feladat mindig az adott hónapra kerül be. A tesztelés külön projektbe zajlik.</p>","probond-havi-fejlesztesek","2014-10-20 11:07:49"
244,"Nyerő játék",62,"","nyero-jatek","2014-10-20 20:31:16"
245,"Pharmacie at home",17,"<p>New website for a medicine distributor and professional advisor team.</p>","pharmacie-at-home","2014-10-22 10:35:09"
246,"Talwinder",17,"","talwinder","2014-10-22 15:48:53"
247,"Rapilium",17,"<p>Rapilium® is a rap compilation that brings together talented artists working in all of Switzerland and engage in the fight against cancer, all for free.</p>","rapilium","2014-10-27 10:49:07"
248,"OMSI",17,"<p>Logo for a medical device distributor.</p>","omsi","2014-10-27 17:52:52"
249,"Mc Donald's",17,"<p>New website design for the Swiss Mc Donald's.</p>","mc-donald-s","2014-10-28 11:13:06"
250,"Superkupon",33,"","superkupon","2014-10-29 10:52:50"
251,"Lasserre",17,"<p>New website for one of the most famous restaurant in Paris.</p>","lasserre","2014-10-29 14:23:44"
252,"Jobies test",122,"<p>Testing processes of Jobies.</p>","jobies-test","2014-11-03 11:00:40"
253,"Panama Advisory Group",17,"<p>Online invoice system and client portal for Panama Advisory Group.</p>","panama-advisory-group","2014-11-06 12:08:27"
254,"Michel Reybier Hospitality",116,"<p><a class=\"external\" href=\"http://www.michelreybierhospitality.com\">www.michelreybierhospitality.com</a></p>","michel-reybier-hospitality","2014-11-07 14:15:35"
255,"Along Came Cindy Blog",17,"<p>Create a design for a lifestyle blog.</p><p>Launching: 10 december</p>","along-came-cindy-blog","2014-11-10 17:23:15"
256,"StreetGourmet",17,"","street-gourmet","2014-11-12 12:34:02"
257,"Decemberi átmeneti promó",86,"","decemberi-atmeneti-promo","2014-11-12 14:09:34"
258,"CIB",56,"","cib","2014-11-13 11:34:50"
259,"Örvény rajz",33,"","oerveny-rajz","2014-11-13 11:46:12"
260,"UnitAid",17,"<p>New website for a WHO financed organization.</p>","unitaid","2014-11-13 14:32:56"
261,"Helvetica Partners",17,"<p>recruitment system for Helvetica Partners<br /><a class=\"external\" href=\"http://www.helvetica-partners.com/\">http://www.helvetica-partners.com/</a></p>","helvetica-partners","2014-11-18 15:15:52"
262,"Aetas",17,"<p>New website for a foundation based on aging researches.</p>","aetas","2014-11-18 18:14:23"
263,"hosting-automation",418,"","h3cpanel","2014-11-21 13:41:40"
264,"BOS Bikes",17,"","bos-bikes","2014-11-26 10:33:49"
265,"Militarytechnics",96,"","militarytechnics","2014-12-01 15:15:50"
266,"British Pantry",96,"","british-pantry","2014-12-02 11:07:54"
267,"CRC",96,"","crc","2014-12-03 11:08:12"
268,"Laptop.hu",96,"<p>A Laptop.hu-hoz tartozó feladatok.</p>","laptop-hu","2014-12-03 12:44:53"
269,"Nordic Life",96,"","nordic-life","2014-12-04 12:33:10"
270,"LoyalBank - content management",205,"","loyalbank-content-management","2014-12-05 16:52:51"
271,"PoziTeam",96,"","poziteam","2014-12-10 13:57:19"
272,"BiOrganic Nutrition",17,"<p>Hannah and her husband (35 years old) ensure the continuity of this vitamin business founded 25 years before by their parents, who are now retiring. They would like to develop the family business and move it online.</p>","biorganic-nutrition","2014-12-12 11:34:25"
274,"Spirithome",96,"","spirithome","2014-12-19 11:34:55"
275,"Sucafina",17,"<p>New website for a coffee brand.</p>","sucafina","2015-01-06 18:54:34"
276,"MyMetics",17,"<p>Mymetics develops next-generation preventative vaccines for infectious diseases.</p><p>Create a new website for a biotechnological company to present the company for potential investors.</p>","mymetics","2015-01-07 10:35:24"
277,"Marketer",33,"","marketer","2015-01-07 15:07:14"
278,"Denise's Burger",17,"<p>New website design for a premium hamburger bar.</p>","denise-s-burger","2015-01-09 10:58:00"
279,"Swiss Property",17,"<p>Website for a real estate development company</p>","swiss-property","2015-01-09 12:43:27"
280,"Bitcoin webshop",96,"","bitcoin-webshop","2015-01-09 14:30:08"
281,"8ways project template",NULL,"","ways-project-template","2015-01-12 09:56:07"
282,"International Cosmetics Distributor",17,"<p>Create a logo for a cosmetic distributor company specialized in cosmetics black skin type.</p>","international-cosmetics-distributor","2015-01-12 10:58:29"
283,"L'École des Roches",17,"<p>New website for a boarding school.</p>","l-ecole-des-roches","2015-01-14 16:41:21"
284,"Heritage Capital",96,"","heritage-capital","2015-01-15 19:46:33"
285,"Luxfero",96,"","luxfero","2015-01-16 11:07:35"
286,"Master Jet",17,"<p>New website for a private jet renting company.</p>","master-jet","2015-01-16 14:26:13"
287,"Ligetmosó",96,"","ligetmoso","2015-01-26 15:26:39"
288,"Kedvezménykuponok készítése",33,"","kedvezmenykuponok-keszitese","2015-01-29 17:45:09"
289,"Kids Voice",17,"<p>New website for a swiss kids talent show.</p><p><strong>Test version: 1st March</strong></p><p><strong>Going live: 15th March</strong></p>","kids-voice","2015-01-30 15:04:02"
292,"Support feladatok",33,"","support-feladatok","2015-02-02 14:01:37"
293,"Nivea - Bárhol otthon",33,"","nivea-marciusi-promo","2015-02-03 10:04:17"
294,"GDF suez",52,"","gdf-suez","2015-02-10 14:07:32"
295,"AD Construction",17,"<p>new website for a building company.</p>","ad-construction","2015-02-10 16:25:09"
296,"H2O",17,"<p>Create logo for an investor comany, investing in movie production.</p>","h2o","2015-02-11 10:29:16"
297,"Coop Parc du Rhône",17,"<p>Website for a commercial center</p>","coop-parc-du-rhone","2015-02-12 10:58:03"
298,"12co",17,"<p>design for a secure mailing system and their promotional website</p>","12co","2015-02-13 14:35:41"
299,"Les Saveurs Du Liban",17,"<p>New website for a libanese restaurant.</p>","les-saveurs-du-liban","2015-02-16 11:08:19"
300,"Nyerő ünnep - Húsvét",69,"","nyero-uennep-husvet","2015-02-23 13:57:44"
301,"Adatrögzítő",19,"","adatroegzito","2015-02-23 17:54:19"
302,"Pénz7",79,"<p>A korábbi ERSTE Facebook játéknak, a PénzÜgyesnek az újraindítása új layouttal és design-nal, minimális funkcionális módosítással.</p>","penz7","2015-02-25 10:19:16"
303,"Cili és Dani esküvői oldal",96,"","cili-es-dani-eskuevoi-oldal","2015-02-25 16:20:47"
304,"ISF",17,"<p>New website concept for the well known seed distributor</p>","isf","2015-02-26 13:44:13"
305,"One FM",17,"<p>flyers for One FM Swiss radio station</p>","one-fm","2015-03-03 12:34:12"
306,"Driving4Free",17,"<p>new website for a car importer company<br /><strong>Deadline: 4th of May</strong></p>","driving4free","2015-03-04 13:21:27"
307,"logitech EDI",69,"","logitech-edi","2015-03-06 18:29:08"
308,"Quotation Generator",418,"","quotation-generator","2015-03-06 18:36:58"
309,"Residence rent",96,"","residence-rent","2015-03-09 15:46:55"
310,"Sparfell",17,"<p>SPARFELL &#38 PARTNERS is an international Aircraft Service Company    that provides different types of services such     as: Acquisition    &#38 Sales - Airliners/ Business Jets/ Helicopters.</p>","sparfell","2015-03-11 11:14:48"
311,"Alive app",17,"","alive-app","2015-03-17 19:59:10"
312,"PROBOND - Backlog",161,"<p>Fejlesztésre váró feladatok listája, specifikációik</p>","probond-backlog","2015-03-20 10:23:10"
315,"Égi lámpás",96,"","egi-lampas","2015-03-25 10:42:38"
317,"Sütidoboz",NULL,"<p>Ridizján for dö moszt bjútiful gasztroblog evör.</p><p>I think we should make it gold...</p>","suetidoboz","2015-03-25 14:21:08"
318,"Dyras",96,"","dyras","2015-03-27 13:54:17"
319,"Malika",17,"<p>Website</p>","malika","2015-03-27 14:38:33"
320,"Avocat Kraus",17,"<p>New website for a law firm.</p>","avocat-kraus","2015-03-27 14:46:04"
321,"ACGi",17,"<p>New website for a real estate company.</p>","acgi","2015-03-27 17:14:29"
326,"First-tech",96,"","first-tech","2015-04-02 16:47:49"
327,"Air Algerie",17,"<p>Website re-design proposal.</p>","air-algerie","2015-04-03 10:46:00"
328,"test7",NULL,"","test7","2015-04-03 10:49:31"
329,"Pouly",17,"<p>Landing page for a bakery.</p>","pouly","2015-04-03 12:41:44"
331,"Labatec",17,"","labatec","2015-04-08 15:54:44"
333,"IPS",205,"","ips","2015-04-13 15:55:43"
334,"Profield corporate site",60,"","profield-corporate-site","2015-04-14 10:22:05"
335,"Bombaüzlet",96,"","bombauezlet","2015-04-16 10:14:26"
336,"Loyalbank.com website",205,"<p><a class=\"external\" href=\"http://loyalbank.web02.dev7.gbart.hu/\">http://loyalbank.web02.dev7.gbart.hu/</a></p>","loyalbank-website","2015-04-20 10:00:44"
337,"Herz",33,"","herz","2015-04-23 11:55:24"
338,"Família",33,"","familia","2015-04-23 12:10:46"
339,"FRK",96,"","frk","2015-04-27 12:24:33"
340,"Luxusautókozmetika",96,"","luxusautokozmetika","2015-04-30 11:39:41"
341,"ACE team portal",111,"<p>A portal for the ACE team for internal use.</p>","ace-team-portal","2015-05-04 13:00:59"
342,"Alutent",96,"<p>Landing page az alutent.hu oldalhoz.</p>","alutent","2015-05-04 15:51:42"
343,"Speedwings",17,"","speedwings","2015-05-04 16:17:09"
344,"Teszt projekt",NULL,"<p>degdetjt</p>","teszt-projekt","2015-05-06 11:20:58"
346,"Mercato",96,"","mercato","2015-05-07 12:29:54"
347,"Fleet Services",96,"","fleet-services","2015-05-07 14:03:09"
348,"Human existence",56,"","human-existence","2015-05-08 12:18:49"
349,"Colombusim.com corp. site",205,"","colombusim-corporate-site","2015-05-08 16:43:35"
350,"Stellar Lighting",96,"","stellar-lighting","2015-05-11 17:57:45"
351,"Herbioticum sebkenőcs",96,"<p>Branding, webfejlesztés</p>","herbioticum-sebkenocs","2015-05-12 09:04:27"
352,"PrestaShop base",418,"<p>A projekt a <a class=\"external\" href=\"http://prestabase.web02.dev7.gbart.hu\">http://prestabase.web02.dev7.gbart.hu</a>  alatt elérhető alaprendszerhez kapcsolódó feladatok gyűjtője.</p>","prestashop-base","2015-05-14 13:53:55"
353,"Flamingo Bar",96,"","flamngo-bar","2015-05-19 09:09:51"
355,"12co microsite",298,"","co-microsite","2015-05-19 13:49:23"
356,"JNC Avocat",17,"","jnc-avocat","2015-05-20 17:49:27"
357,"IPS tasks",205,"","ips-tasks","2015-05-21 11:43:39"
358,"Webstone Ltd.",17,"<p>New website for a SEO provider company.</p>","webstone-ltd","2015-05-22 12:40:27"
359,"Logitech 2015 nyári promó",69,"","logitech-2015-nyari-promo","2015-05-26 15:43:20"
360,"Mahart Tours",96,"","mahartports","2015-05-26 17:08:11"
361,"8Cap demo",442,"<p>Creating a demo financial portal for 8 Ways, so the sales team will be able to better sell these kind of systems.</p>","8cap-demo","2015-05-27 15:26:57"
363,"BFM",17,"<p>Theater in Geneva</p>","bfm","2015-05-29 15:38:03"
365,"Europe Media",96,"","europemedia","2015-06-03 11:29:58"
366,"Bistro Mandarin",107,"","bistromandarin","2015-06-04 12:16:44"
367,"Weisshorn",17,"","weisshorn","2015-06-05 10:47:13"
368,"Colombusim.hu",205,"","colombusim","2015-06-08 15:12:52"
369,"Nest Living",17,"<p>New website for a luxury apartment.</p>","nest-living","2015-06-09 16:55:56"
371,"Johnson & Johnson",33,"","johnson-johnson","2015-06-10 10:21:37"
373,"Aesthetica - mellnagyobbítás portál",24,"","aesthetica-mellnagyobbitas-portal","2015-06-10 13:37:45"
374,"DVM group",96,"","dvm-group","2015-06-10 14:55:21"
375,"Duna Transznacionális Program (DTP, interregdanube)",96,"","duna-transznacionalis-program","2015-06-11 11:11:02"
376,"GBaRT projekt sablon",418,"","gbart-projekt-sablon","2015-06-12 10:13:34"
377,"Mahart info",96,"","mahart-info","2015-06-19 12:13:31"
378,"Aptitudes Placement Sàrl",17,"","aptitudes-placement-sarl","2015-06-23 11:51:20"
379,"Nemzeti Emlékezet Bizottság",24,"","nemzeti-emlekezet-bizottsag","2015-06-24 10:30:26"
380,"Loyalfunds",205,"","loyalfunds","2015-06-24 15:02:56"
381,"Advanced Shields",17,"<p>New website for an investment company.</p>","advanced-shields","2015-06-25 13:49:06"
382,"Mediametrix",79,"","mediametrix","2015-06-29 14:15:25"
383,"Spar promóció",NULL,"","spar-promocio","2015-06-30 15:47:09"
384,"Auchan promóció",371,"","auchan-promocio","2015-06-30 15:47:29"
385,"Kínai konyha",107,"","kinai-konyha","2015-07-01 10:11:59"
386,"Harckocsi",96,"","harckocsi","2015-07-02 10:43:47"
387,"Spar promóció - 1.",371,"","spar-p","2015-07-02 11:26:11"
388,"Máltai befektetési alap",96,"","maltai-befektetesi-alap","2015-07-02 19:42:58"
389,"Michel Reybier",116,"<p><a class=\"external\" href=\"http://www.michelreybier.com\">www.michelreybier.com</a></p>","michel-reybier","2015-07-07 10:42:51"
390,"Logitech 2015 őszi promó",69,"","logitech-2015-oszi-promo","2015-07-07 15:56:08"
391,"Frix",96,"","wexi","2015-07-09 17:29:51"
392,"Ingyenkávégép",5,"","ingyenkavegep","2015-07-13 14:12:29"
393,"Coke Meal - 2015",81,"","coca-cola-spar","2015-07-16 16:53:31"
394,"Global electric factory",96,"","global-electric-factory","2015-07-20 10:54:19"
395,"Szivattyú javítás",96,"","szivattyu-javitas","2015-07-21 12:26:29"
396,"Victoria Jungfrau Collection",17,"<p>New websites for the Victoria Jungfrau Collection hotels.</p>","victoria-jungfrau-collection","2015-07-22 17:28:55"
397,"Le sourire de Lucie",17,"<p>New website for a charity organization.</p>","le-sourire-de-lucie","2015-07-23 15:56:31"
398,"Heritage Capital Fund",96,"","heritage-capital-fund","2015-07-23 16:35:23"
399,"Pick 2015 trade promóció",33,"","pick-2015-fogyasztoi-promocio","2015-07-28 22:47:13"
400,"Hair Medical",17,"<p>Branding package and website for a newly established hair regrowth aesthetic medical center.</p>","hair-medical","2015-07-29 13:50:27"
401,"Investment",96,"","listo","2015-07-29 15:53:43"
402,"Coke Vodafone",81,"","coke-vodafone","2015-07-30 19:03:56"
403,"Pick 2015 fogyasztói promóció",33,"","pick-2015-fogyasztoi-promocio2","2015-08-03 20:29:58"
404,"Capvest",17,"<p>Offline brochure</p>","capvest","2015-08-06 10:50:08"
405,"Eyes Magazine",17,"<p>online version of a printed luxury magazine</p><p>current page:<br><a class=\"external\" href=\"http://www.eyesmagazine.ch/\">http://www.eyesmagazine.ch/</a></p>","eyes-magazine","2015-08-06 11:56:22"
406,"Petrolin",17,"<p>website for an African oil company</p>","petrolin","2015-08-10 10:19:05"
407,"Nulla év",24,"","nulla-ev","2015-08-12 10:34:16"
408,"Addex Therapeutics",17,"<p>New branding and website for a pharmaceutical company.</p>","addex-therapeutics","2015-08-17 11:09:49"
409,"iStudy",17,"<p>webpage of a print magazine with banners and coupons</p>","istudy","2015-08-17 11:26:30"
410,"Abyss World",17,"<p>New website and a webshop for a travel agency specialized on  Scuba Diving.</p>","abyss-world","2015-08-17 15:58:13"
411,"Edvin Marton",96,"","edvin-marton","2015-08-18 11:17:36"
412,"Hajozas",96,"<p>A hajozas.net oldal kap új designt.</p>","hajozas","2015-08-23 10:20:26"
413,"Spar promóció - 2.",371,"","johnson-johnson-3-promocio","2015-08-24 16:09:21"
414,"HSSC",96,"","hssc","2015-09-01 10:02:35"
415,"Vidék történet",24,"","videk-toertenet","2015-09-01 13:49:26"
416,"Hotel du Palais",17,"<p>Presentation site for MRH group's tender for Hotel du Palais.</p>","hotel-du-palais","2015-09-01 16:45:26"
417,"Foodster",96,"","goodforme","2015-09-02 09:52:07"
418,"GBaRT - internal",96,"","gbart-internal","2015-09-04 11:16:31"
420,"Sendy",418,"","sendy","2015-09-04 11:22:39"
421,"Sitebuild Framework",418,"","sitebuild-framework","2015-09-04 11:28:20"
422,"Design",418,"","design","2015-09-04 16:18:11"
423,"Bossmedia",96,"","bossmedia","2015-09-07 13:11:36"
424,"Pizzamonster",96,"","pizzamonster","2015-09-09 17:38:40"
425,"Stella Payment Solutions",205,"","stella-payment-solutions","2015-09-10 10:17:47"
426,"MicroExpress",96,"","microexpress","2015-09-14 13:25:47"
427,"Gérance",17,"<p>Branding and new website for a swiss real estate company.</p>","gerance","2015-09-14 16:28:03"
428,"Bridgestone",33,"","bridgestone","2015-09-15 19:17:15"
429,"Denis Dental",96,"","denis-dental","2015-09-16 18:12:59"
430,"Streetfood & Grill",424,"","streetfood-grill","2015-09-16 18:27:17"
431,"Oil 2015",33,"","oil","2015-09-23 16:33:49"
432,"Lasserre Giftbox",251,"","lasserre-giftbox","2015-09-24 10:44:45"
433,"Le fournil Romand",17,"<p>New website design for a well known Swiss artisan bakery chain.</p>","le-fournil-romand","2015-09-24 10:57:14"
434,"Spice Management",17,"<p>Portfolio: Asset management</p>","spice-management","2015-09-29 13:05:46"
435,"SalesCRM",418,"","salescrm","2015-09-29 22:54:53"
436,"Propaganda",17,"<p>New website for a marketing agency.</p>","propaganda","2015-10-01 14:00:18"
437,"Next Privacy",17,"<p>Data anonymisation and protection</p>","next-privacy","2015-10-06 09:44:48"
438,"Siematic Budapest",96,"","siematic-budapest","2015-10-07 13:12:26"
439,"Audemars Piguet",17,"<p>New icon design for a proposal</p>","audemars-piguet","2015-10-07 14:22:13"
440,"Dankin & Associates",17,"<p>Logo designs for a fiduciary service company.</p>","herrmann-associates","2015-10-08 11:58:27"
441,"RJ Management",17,"","rj-management","2015-10-13 10:26:40"
442,"8Cap Suite",17,"<p>The company sells sophisticated digital solutions</p>","8cap","2015-10-16 17:47:26"
443,"ENTAC",96,"","led-vilagitastechnika","2015-10-20 21:41:43"
444,"Basic Commodities",17,"<p>Branding for a trading company.</p>","basic-commodities","2015-10-21 16:43:04"
445,"Nescens",17,"<p>Website re-design for an anti-aging progarm researcher and developer company.</p>","nescens","2015-10-22 14:48:52"
446,"Logitech 2015 téli promó",69,"","logitech-2015-teli-promo","2015-10-27 12:23:30"
447,"FB Complex",96,"","fb-complex","2015-10-27 16:20:36"
448,"La Reserve Conciergerie",116,"<p>Blog style website for presenting the Conciergerie service of the hotel.</p>","la-reserve-conciergerie","2015-10-28 12:04:00"
449,"SweDent",96,"","swedent","2015-10-29 13:20:43"
450,"8wayscrm - 8cloud.ch",435,"","wayscrm-8cloud-ch","2015-11-02 11:24:34"
451,"MG JOB",122,"<p>Whitelabel system of Jobies for MG JOB</p>","mg-job","2015-11-05 11:51:16"
452,"HTCC",96,"<p>HTCC - Magyar Kereskedelmi és Kulturális Központ</p>","htcc","2015-11-05 13:10:42"
453,"Richemont",17,"","richemont","2015-11-06 12:28:37"
454,"Beaulieu",17,"<p>design project</p>","beaulieu","2015-11-09 11:19:45"
456,"Geneva Airport",17,"","geneva-airport","2015-11-09 16:50:36"
457,"Money Plus Card",205,"","money-plus-card","2015-11-11 18:19:49"
458,"L design",96,"","l-design","2015-11-12 13:02:03"
459,"GBaRT teszt",96,"","gbart-teszt","2015-11-13 14:10:58"
460,"Emmanuel Levain",17,"","emmanuel-levain","2015-11-17 14:25:40"
461,"Wang Happy Noodles",107,"<p>Teljes branding prémium sült tészta kiszállításhoz.</p>","wang-happy-noodles","2015-11-20 10:48:55"
462,"Toute des Championne",17,"<p>Lifestyle blog for a personal trainer</p>","toutes-des-championne","2015-11-20 16:58:36"
463,"Violet",17,"<p>Branding for a luxury children clothing brand.</p>","violet","2015-11-20 17:38:00"
464,"Nestlé",17,"<p>Presentation.</p>","nestle","2015-11-23 15:22:20"
465,"Evyra",17,"<p>simple website for an independent venture capital firm</p>","evyra","2015-11-24 10:08:09"
466,"Roosevelt 7/8",96,"<p>weboldal és offline anyagok egy budapesti prémium irodaház számára</p>","roosevelt-7-8","2015-11-24 13:47:07"
467,"ng-gantt teszt projekt",484,"<p>Az 8ways projekt template-ről készített másolat az ng-gantt kliens fejlesztéséhez és teszteléséhez.</p>","ng-gantt-teszt-projekt","2015-11-26 21:20:34"
468,"PR Directory",453,"<p>Searchable HTML file for their corporate contacts.</p>","pr-directory","2015-11-27 11:42:24"
469,"Autó Kártörténet - AKT",96,"","auto-kartoertenet-akt","2015-11-27 14:50:04"
470,"Edwards Sandwiches",17,"","edwards-sandwiches","2015-12-01 12:03:23"
472,"Váci 1",374,"","vaci-1","2015-12-08 17:18:04"
473,"Baboo",17,"<p>Website for a yoga teacher.</p>","baboo","2015-12-15 17:05:24"
474,"Decimus",17,"<p>Branding for a new fiduciary service.</p>","decimus","2016-01-05 10:28:20"
476,"Cla-Val",17,"<p>Website for Cla-­Val which is the worldwide leader in building Hydraulic Valves for multiple purposes:<br />Ground Fueling in Airport, Industry, Marine, water savings…</p>","cla-val","2016-01-05 11:28:39"
477,"Carré Lumière",17,"","carre-lumiere","2016-01-11 10:45:28"
478,"Perfektum",96,"","perfektum","2016-01-11 11:58:11"
479,"Krimmo",17,"","krimmo","2016-01-11 16:56:05"
480,"Tesco",371,"","tesco","2016-01-11 17:48:45"
481,"Capocaccia",17,"<p>window sticker design for a newly opening restaurant</p>","capocaccia","2016-01-12 15:56:33"
482,"Gyermekfotó",96,"","gyermekfoto","2016-01-13 11:57:30"
483,"Pick 2016 tender",33,"","pick-2016-tender","2016-01-13 15:24:12"
484,"ng-gantt teszt főprojekt",NULL,"<p>immár főprojekt</p>","ng-gantt-teszt-alprojekt","2016-01-13 21:06:19"
485,"ng-gantt teszt alprojekt",484,"<p>Az 8ways projekt template-ről készített másolat az ng-gantt kliens fejlesztéséhez és teszteléséhez.</p>","ng-gantt-teszt-al-projekt","2016-01-13 21:10:52"
486,"The Sand Dollar Sculpture",17,"","the-sand-dollar-sculpture","2016-01-19 15:02:34"
487,"Hotelis",17,"<p>Part of the Interiman group.<br />Recruitment company.</p>","hotelis","2016-01-19 15:10:34"
488,"Turtle Island (Tortuga)",17,"<p>Branding and website for an opening themed playhouse for children.</p>","turtle-island","2017-05-11 12:51:27"
489,"Disconnection Totale",17,"<p>small branding and landing page for a hydraulic valve solution</p>","disconnection-totale","2016-01-21 09:51:36"
490,"Alta Booking",17,"<p>Logo design for a booking system.</p>","alta-booking","2016-01-21 14:16:49"
491,"Arzier",17,"<p>simple C5 real estate website for presenting an apartment house</p>","arzier","2016-01-22 16:39:56"
492,"Zazazou",17,"<p>Shoe shop in Geneva.<br />The aim is to create its webshop.</p>","zazazou","2016-01-22 16:51:14"
493,"Szolnoki baglyok",96,"<p><a class=\"external\" href=\"http://szolnokibaglyokdarts.hu/\">http://szolnokibaglyokdarts.hu/</a></p>","szolnoki-baglyok","2016-01-25 15:02:37"
494,"H Coiffure",17,"","h-coiffure","2016-01-27 10:27:45"
495,"Csillag Dental",96,"","csillag-dental","2016-01-29 11:22:34"
496,"BatYmar",17,"<p>Website for an architect to present their realisations.</p>","batymar","2016-01-29 14:18:22"
497,"NextGen",96,"<p>Next Generations ruházati webshop redesign.</p>","nextgen","2016-02-03 10:54:29"
498,"Giftbox demo",17,"<p>newly branded version of the Lasserre Giftbox for sale purposes</p>","giftbox-demo","2016-02-03 13:25:41"
499,"Felix Constructions",17,"<p>New website for a construction company.</p>","felix-constructions","2016-02-03 18:08:12"
500,"Artizians",536,"","artizians","2016-02-04 10:39:12"
501,"Dr. Zempléni Kinga",96,"","dr-zempleni-kinga","2016-02-05 15:22:46"
502,"Forever Institut",17,"<p>New website for a swiss laser aesthetic surgery.</p>","forever-institut","2016-02-05 16:20:03"
503,"Nivea - tengernyi gondoskodás",33,"","nivea-tengernyi-gondoskodas","2016-02-10 16:19:15"
504,"Amberg Group",17,"<p>New, complex website for Amberg group, Swiss leaders in the in the areas of underground structures, un- derground railways, road and metro tunnels and infrastructure galleries.</p>","amberg-group","2016-02-11 14:40:08"
505,"Myloyex",205,"","myloyex","2016-02-11 16:12:57"
506,"Lonberg",96,"","lonberg","2016-02-15 00:13:51"
507,"Swiss Digital First",17,"<p>New company, partnered with Data First.</p>","swiss-digital-first","2016-02-16 17:04:41"
508,"Profis",96,"","profis","2016-02-19 13:43:36"
509,"Sparfell International Lease Corporation (silc)",310,"<p>Vitrine website for a Sparfell subsidiary.</p><p>Launching: 11 Apr</p>","sparfell-international-lease-corporation","2016-02-19 16:42:44"
510,"Decisive Partners",17,"","decisive-group","2016-02-19 17:56:31"
511,"HomeBistrot",17,"","homebistrot","2016-02-19 18:00:28"
512,"Spacecode",17,"<p>pre-design</p>","spacecode","2016-02-24 10:11:04"
513,"Burn 2016 tavasz",83,"","burn-2016","2016-02-24 18:52:19"
514,"8caps website",442,"<p>website presenting the 8CAPS system</p>","caps-website","2016-02-29 13:04:41"
515,"timelinefixer-demo",NULL,"<p>only for testing the gantt fixer.</p>","timelinefixer-demo","2016-02-29 19:39:31"
516,"Antistressmassage",96,"","antistressmassage","2016-03-02 11:12:04"
517,"COOP Gottaz",17,"<p>Website for a shopping center.</p>","coop-gottaz","2016-03-04 17:26:13"
518,"Concorde",96,"","concorde","2016-03-05 10:24:59"
519,"Mini presentation site",465,"<p>presentation of NAS (new age shisha)</p>","mini-presentation-site","2016-03-07 10:59:57"
520,"edmletter.com ",175,"<p>bppi-s sendy rendszer</p>","edmletter-com","2016-03-07 11:15:19"
521,"Coke HORECA B2C",81,"","coke-horeca","2016-03-07 13:40:37"
522,"ProjectB",96,"","projectb","2016-03-09 15:40:43"
523,"Lartigue",17,"<p>New website for a Parisian art gallery</p>","lartigue","2016-03-11 15:14:22"
524,"Bridgestone vásárlói promóció",428,"","bridgestone-vasarloi-promocio","2016-03-14 08:56:07"
